City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,Salekhard,66.53,66.6019,64.25600000000003,50,46,4.0,RU,1627101834
147,Balkanabat,39.5108,54.3671,91.292,41,0,3.08,TM,1627101835
148,Genç,38.7507,40.5603,75.56000000000009,43,0,6.17,TR,1627101835
149,Vila Velha,-20.3297,-40.2925,64.34600000000005,88,90,2.06,BR,1627101733
150,Zhigansk,66.7697,123.3711,74.08399999999999,36,95,5.52,RU,1627101436
151,Meadow Lake,34.8014,-106.5436,69.15200000000007,59,66,1.32,US,1627101836
152,Pochutla,15.7432,-96.4661,79.82600000000009,86,98,2.25,MX,1627101836
153,Talaya,61.3833,152.75,58.17200000000004,80,100,0.84,RU,1627101836
154,Narsaq,60.9167,-46.05,50.21600000000001,77,68,1.28,GL,1627101430
155,Tianpeng,30.9866,103.9393,84.63200000000002,71,31,3.16,CN,1627101837
156,Korla,41.7597,86.1469,95.9,22,0,4.17,CN,1627101551
157,Vaini,-21.2,-175.2,80.76200000000006,89,20,2.06,TO,1627101837
158,Zeya,53.75,127.2667,73.958,93,95,2.69,RU,1627101692
159,George Town,5.4112,100.3354,87.74600000000005,66,20,3.13,MY,1627101527
160,Bafoulabé,13.8065,-10.8321,74.516,90,70,1.62,ML,1627101838
161,Longyearbyen,78.2186,15.6401,44.438000000000045,87,75,3.6,SJ,1627101839
162,Southend-on-Sea,51.5378,0.7143,64.25600000000003,91,20,0.45,GB,1627101839
163,Saint-Leu,-21.15,55.2833,72.42800000000007,48,6,0.79,RE,1627101839
164,Nhulunbuy,-12.2333,136.7667,84.81200000000005,58,41,5.14,AU,1627101686
165,Tasiilaq,65.6145,-37.6368,41.162000000000056,99,100,0.84,GL,1627101425
166,Geraldton,-28.7667,114.6,63.01400000000003,72,90,2.57,AU,1627101446
167,Pangnirtung,66.1451,-65.7125,42.51200000000006,79,50,1.67,CA,1627101745
168,Alugan,12.2188,125.4808,91.184,53,87,5.72,PH,1627101841
169,Swan River,52.1058,-101.2676,62.492,55,2,3.6,CA,1627101736
170,Novoil'insk,51.6829,108.7143,77.28800000000004,37,0,3.32,RU,1627101841
171,Laiya,13.675,121.3903,86.03600000000007,70,100,3.73,PH,1627101842
172,Yerbogachën,61.2767,108.0108,79.358,41,100,3.04,RU,1627101842
173,Khurai,24.0436,78.3319,82.13000000000004,76,100,4.12,IN,1627101842
174,Grand Gaube,-20.0064,57.6608,73.38200000000002,66,39,3.58,MU,1627101843
175,San Juan,-31.5375,-68.5364,53.22200000000004,34,1,3.57,AR,1627101737
176,Te Anau,-45.4167,167.7167,46.92200000000004,87,66,1.13,NZ,1627101843
177,Kiryat Gat,31.61,34.7642,79.91600000000001,100,66,4.5,IL,1627101844
178,Gravdal,68.1214,13.5031,52.214000000000034,98,100,7.29,NO,1627101844
179,Aklavik,68.2191,-135.0107,68.72000000000006,39,59,2.6,CA,1627101844
180,Sivaki,52.6333,126.75,81.48200000000001,58,60,3.54,RU,1627101845
181,Kumluca,36.3703,30.2869,86.14400000000008,48,0,0.26,TR,1627101845
182,Zabaykal'sk,49.6333,117.3167,75.72200000000004,43,48,6.64,RU,1627101845
183,Barrow,71.2906,-156.7887,37.418000000000085,87,90,5.66,US,1627101427
184,Duncan,34.5023,-97.9578,80.816,73,1,4.63,US,1627101846
185,Mastic Beach,40.7668,-72.8521,71.97800000000007,81,1,1.79,US,1627101847
186,Negombo,7.2083,79.8358,82.45400000000005,83,40,3.6,LK,1627101847
187,Stutterheim,-32.5708,27.424,34.43000000000004,85,14,2.42,ZA,1627101847
188,Karratha,-20.7377,116.8463,82.45400000000005,29,13,6.66,AU,1627101848
189,Bereda,43.2686,-7.5406,60.42200000000004,95,98,2.23,ES,1627101848
190,Dikson,73.5069,80.5464,43.7,87,100,15.6,RU,1627101379
191,Mackay,-21.15,149.2,86.684,45,40,4.63,AU,1627101849
192,Coahuayana Viejo,18.7333,-103.6833,78.24199999999999,94,73,0.94,MX,1627101849
193,La Ronge,55.1001,-105.2842,61.05200000000008,72,40,1.54,CA,1627101849
194,Saint-Philippe,-21.3585,55.7679,72.95,67,23,3.3,RE,1627101698
195,Namanga,-2.5433,36.7905,60.92600000000009,64,39,6.62,KE,1627101850
196,Faanui,-16.4833,-151.75,78.24199999999999,65,37,5.89,PF,1627101850
197,Shitanjing,39.2342,106.3439,85.19000000000003,41,7,7.7,CN,1627101850
198,Broken Hill,-31.95,141.4333,56.912000000000056,47,75,10.29,AU,1627101851
199,Clyde River,70.4692,-68.5914,32.233999999999995,93,1,2.06,CA,1627101851
200,Avarua,-21.2078,-159.775,75.25400000000005,73,0,3.6,CK,1627101447
